,iso_code,country,sex,age,year,employment,unemployment,baseline_2020,recovery_score
287,ARM,Armenia,Female,25+,2024,48.623,11.518,48.562,0.06099999999999994
288,ARM,Armenia,Total,15+,2023,52.546,12.405,50.125,2.4209999999999994
289,ARM,Armenia,Total,15-24,2023,28.011,26.736,26.336,1.6750000000000007
290,ARM,Armenia,Total,25+,2023,56.934,10.871,54.223,2.7109999999999985
291,ARM,Armenia,Male,15+,2023,62.068,11.735,56.487,5.580999999999996
292,ARM,Armenia,Male,15-24,2023,35.014,23.734,31.35,3.6640000000000015
293,ARM,Armenia,Male,25+,2023,67.592,10.241,61.526,6.065999999999995
294,ARM,Armenia,Female,15+,2023,44.74,13.155,44.978,-0.23799999999999955
295,ARM,Armenia,Female,15-24,2023,20.912,31.325,21.155,-0.2430000000000021
296,ARM,Armenia,Female,25+,2023,48.526,11.553,48.562,-0.03599999999999426
297,ARM,Armenia,Total,15+,2022,50.905,13.451,50.125,0.7800000000000011
298,ARM,Armenia,Total,15-24,2022,27.511,26.691,26.336,1.1750000000000007
299,ARM,Armenia,Total,25+,2022,54.935,12.081,54.223,0.7120000000000033
300,ARM,Armenia,Male,15+,2022,60.214,13.155,56.487,3.7269999999999968
301,ARM,Armenia,Male,15-24,2022,32.96,23.8,31.35,1.6099999999999994
302,ARM,Armenia,Male,25+,2022,65.578,11.938,61.526,4.052
303,ARM,Armenia,Female,15+,2022,43.315,13.784,44.978,-1.6630000000000038
304,ARM,Armenia,Female,15-24,2022,22.003,30.674,21.155,0.847999999999999
305,ARM,Armenia,Female,25+,2022,46.575,12.239,48.562,-1.9869999999999948
306,ARM,Armenia,Total,15+,2021,52.364,15.469,50.125,2.238999999999997
307,ARM,Armenia,Total,15-24,2021,27.664,30.095,26.336,1.328000000000003
308,ARM,Armenia,Total,25+,2021,56.574,13.968,54.223,2.350999999999999
309,ARM,Armenia,Male,15+,2021,59.305,15.702,56.487,2.817999999999998
310,ARM,Armenia,Male,15-24,2021,32.478,27.672,31.35,1.1280000000000001
311,ARM,Armenia,Male,25+,2021,64.563,14.304,61.526,3.036999999999999
312,ARM,Armenia,Female,15+,2021,46.725,15.227,44.978,1.7469999999999999
313,ARM,Armenia,Female,15-24,2021,22.767,33.337,21.155,1.6119999999999983
314,ARM,Armenia,Female,25+,2021,50.332,13.63,48.562,1.7700000000000031
315,ARM,Armenia,Total,15+,2020,50.125,18.175,50.125,0.0
316,ARM,Armenia,Total,15-24,2020,26.336,32.079,26.336,0.0
317,ARM,Armenia,Total,25+,2020,54.223,16.749,54.223,0.0
318,ARM,Armenia,Male,15+,2020,56.487,19.119,56.487,0.0
319,ARM,Armenia,Male,15-24,2020,31.35,31.207,31.35,0.0
320,ARM,Armenia,Male,25+,2020,61.526,17.64,61.526,0.0
321,ARM,Armenia,Female,15+,2020,44.978,17.193,44.978,0.0
322,ARM,Armenia,Female,15-24,2020,21.155,33.373,21.155,0.0
323,ARM,Armenia,Female,25+,2020,48.562,15.854,48.562,0.0
324,AUS,Australia,Total,15+,2025,63.816,4.09,60.87,2.946000000000005
325,AUS,Australia,Total,15-24,2025,63.423,9.61,56.265,7.158000000000001
326,AUS,Australia,Total,25+,2025,63.884,3.07,61.701,2.183
327,AUS,Australia,Male,15+,2025,67.767,4.128,65.566,2.2009999999999934
328,AUS,Australia,Male,15-24,2025,62.6,10.727,55.401,7.198999999999998
329,AUS,Australia,Male,25+,2025,68.709,2.936,67.5,1.2090000000000032
330,AUS,Australia,Female,15+,2025,59.982,4.05,56.322,3.6599999999999966
331,AUS,Australia,Female,15-24,2025,64.291,8.433,57.181,7.109999999999999
332,AUS,Australia,Female,25+,2025,59.269,3.219,56.175,3.094000000000001
333,AUS,Australia,Total,15+,2024,64.089,3.942,60.87,3.219000000000001
334,AUS,Australia,Total,15-24,2024,63.585,9.408,56.265,7.32
335,AUS,Australia,Total,25+,2024,64.176,2.939,61.701,2.4750000000000014
336,AUS,Australia,Male,15+,2024,68.048,4.046,65.566,2.4819999999999993
337,AUS,Australia,Male,15-24,2024,62.724,10.621,55.401,7.322999999999993
338,AUS,Australia,Male,25+,2024,69.017,2.865,67.5,1.516999999999996
339,AUS,Australia,Female,15+,2024,60.249,3.827,56.322,3.9269999999999996
340,AUS,Australia,Female,15-24,2024,64.495,8.125,57.181,7.314000000000007
341,AUS,Australia,Female,25+,2024,59.552,3.02,56.175,3.3770000000000024
